,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
156,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",59780,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
157,Better,Khalid,59418,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
158,"I Love It (& Lil Pump)","Kanye West",59187,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
159,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",59092,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
160,"Asfalttiviidakko - Vain Elämää Kausi 9",Evelina,58770,https://open.spotify.com/track/7FCxlHGvfI7FvuTJWDBwJB
161,"Ei suomalaiset tanssi","Haloo Helsinki!",58420,https://open.spotify.com/track/36knYZNgwftBUhMZOzmtmE
162,MAMA,6ix9ine,57429,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
163,Youngblood,"5 Seconds of Summer",57392,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
164,"I Saw Mommy Kissing Santa Claus","Jessica Simpson",56099,https://open.spotify.com/track/5ArFAkYHVYyVfW1pavPN6q
165,"Mun Pitäis Se Jo Tietää",KUUMAA,55548,https://open.spotify.com/track/4e7JSknTwVa0TRE2WKLFUV
166,"All Falls Down (feat. Juliander)","Alan Walker",55539,https://open.spotify.com/track/1HvCFAUIWQsWV9zud3UhDl
167,"XO Tour Llif3","Lil Uzi Vert",55366,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
168,"Mä haluun sut tänään","Pete Parkkonen",55366,https://open.spotify.com/track/3t49QtRP4O1x5r5OS1ZqCT
169,"Feliz Navidad","José Feliciano",55254,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
170,"Vastaaja (feat. Mira Luoti)",Aste,55230,https://open.spotify.com/track/18mfNQTfkx3vjZGAmH8bX4
171,"TEXAS (feat. JVG)","Haloo Helsinki!",55086,https://open.spotify.com/track/5ULiEi3KOYP1l7h8VXAsBH
172,"Kill Yourself (Part III)",$uicideBoy$,55006,https://open.spotify.com/track/5XAPpyIoYF3QXP34Hv8Pvx
173,"Sä Oot Siin","Sini Sabotage",53756,https://open.spotify.com/track/0TpOnfSvB42iKHL6qGBGQs
174,"Riks Raks Poks",Gasellit,53476,https://open.spotify.com/track/7hBOcRUaHNwCyJ8Xxq0DeI
175,"Aikaa Ei Oo",edi,53349,https://open.spotify.com/track/0N3LZ4VmzLvKlR2hYyw7Rh
176,"All For Love",Raaban,53339,https://open.spotify.com/track/5VGBgPVFO3e0lWz4WHYntQ
177,"Love Someone","Lukas Graham",53084,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
178,"Adoptoi Mun Sydän","SINI YASEMIN",52907,https://open.spotify.com/track/6VRi6NpPX52YTdCSqpKhRP
179,"Santa Baby","Kylie Minogue",52834,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
180,Alone,"Alan Walker",52834,https://open.spotify.com/track/3LlmKSHR3Rs0Y3KHQLAYDk
181,Believer,"Imagine Dragons",52333,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
182,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",52219,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
183,"Save That Shit","Lil Peep",52032,https://open.spotify.com/track/0S0vWvyZ6Rc79TXkWxT9QA
184,"Winter Wonderland","Rod Stewart",52013,https://open.spotify.com/track/0NSAlbl5xcKOu7BKDbVk7I
185,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",51708,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
186,WAKA,6ix9ine,51622,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
187,"Se Ei Kuulu Sulle",Gasellit,51599,https://open.spotify.com/track/4A7ZeiV3LKUDTXEcJMvaPD
188,"Wake Up in the Sky","Gucci Mane",51310,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
189,"Blah Blah Blah","Armin van Buuren",51140,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
190,"Sit ku mä oon vapaa",SANNI,50740,https://open.spotify.com/track/3x5KgPsXF0J9HWFuX159yh
191,YsäriBoi,"DJ Oku Luukkainen",50607,https://open.spotify.com/track/5Cqd96h4G16XV4Fx2VuTn9
192,"Let Me Down Slowly","Alec Benjamin",50162,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
193,"White Christmas","Bing Crosby",50145,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
194,"Leave Me Alone","Flipp Dinero",50090,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
195,Elämänpelko,Apulanta,50051,https://open.spotify.com/track/6tfMHtrbhsOz2ysqv9z0rW
196,"Another One Bites The Dust - Remastered 2011",Queen,49984,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
197,"Kylmään sydämeen","Waltteri Torikka",49951,https://open.spotify.com/track/1txHV8c6qLKUwdWnTVLFgR
198,Paris,$uicideBoy$,49934,https://open.spotify.com/track/4irYeuAi87yyGHcI4h9s0x
199,"Mä Voisin Olla Se","Eino ja Aapeli",49879,https://open.spotify.com/track/4jigaQg4yJmIxMXrLCr1yq
200,"Valot sammuu",Cheek,49740,https://open.spotify.com/track/39J7BoHrpoR9V3vUBIj1wK
